Территориальное управление Ростехнадзора,Субъект(ы) Российской Федерации,Вид проверки,Наименование проверяемой организации,ИНН проверяемой организации,Регистрационный № ОПО,Начало проведения проверки,Окончание проведения проверки,Количество башенных кранов в организации (всего),Количество проверенных башенных кранов,Количество демонтированных кранов (из числа проверенных),Количество выявленных технических нарушений,Количество выявленных организационных нарушений,Количество нарушений в части ППР,Количество нарушений в части ЭПБ,Количество нарушений требований ТР ТС 010/2011,"Количество иных нарушений (с указанием вида(видов) нарушений в графе ""Примечания"")",Общее количество выявленных нарушений (по Акту),Количество штрафов в отношении юридических лиц,Общая сумма наложенных штрафов в отношении юридических лиц (руб.),Количество штрафов в отношении должностных лиц,Общая сумма наложенных штрафов в отношении должностных лиц (руб.),Количество приостановок по ч.1 ст. 9.1 КоАП,Количество приостановок по ч. 3 ст. 9.1 КоАП,Количество вынесенных предупреждений,Количество дисквалификаций,"Иные принятые меры реагирования (письма в правоохранительные органы, прокуратуру, суды и т.д.)",Примечания
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""Крепость""",1 901 080 130,А65-02696-0001,16.06.2017,05.07.2017,2,2,1,12,8,1,1,0,0,22,1, 150 000.00 ? ,0, -   ? ,0,0,0,0,Справка по результатам проверки направлена в прокуратуру г. Абакана с сопроводительным письмом от 05.07.2017 №6.17-19886/65 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана. Справка по результатам проверки направлена в прокуратуру г. Абакана.  На момент проведения проверки на строительной площадке 1 башенный кран находился в эксплуатацции, 2 башенный кран находился в стадии монтажа. Штраф на юридическое лицо снижен с 200 тыс. рублей до 150 тыс. рублей по ходатайству ООО ""Крепость"" в свзи с финансовым положением.
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),ИП Потапов Алексей Владимирович,381 705 648 659,,10.08.2017,15.08.2017,1,1,0,2,6,0,1,0,0,9,0, -   ? ,0, -   ? ,0,1,0,0,Справка по результатам проверки направлена в прокуратуру г. Саяногорска с сопроводительным письмом от 17.08.2017 №6.17-25200/65 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению  прокуратуры г. Саяногорска. Справка по результатам проверки направлена в прокуратуру г. Саяногорска. Эксплуатация башенного крана КБ-100.ОС, зав. №858, 1977 года выпуска приостановлена сроком на 90 суток
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""СибЮгСтрой""",1 903 021 719,,18.09.2017,29.09.2017,3,3,0,20,11,2,2,0,0,35,0, -   ? ,2, 35 000.00 ? ,0,0,0,0,"Справка по результатам проверки направлена в прокуратуру г. Абакана с сопроводительным письмом от 29.09.2017 №6.17-31817/65 для принятия решения о привлечении к ответственности.
","?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана. Справка по результатам проверки направлена в прокуратуру г. Абакана. Штрафы вынесены по ч.1 ст. 9.1. КоАП РФ в размере 20 тыс. рублей и 1 штраф по ст. 9.19. КоАП РФ в размере 15 тыс. рублей.
"
Енисейское управление,19 Республика Хакасия,первичная выездная проверка (по поручению 85 РП),"ООО ""Механизированная колонна №8""",1 901 056 410,А65-02662-0001,29.09.2017,29.09.2017,2,2,2,0,3,0,0,0,0,3,0, -   ? ,0, -   ? ,0,0,0,0,Справка по результатам проверки направлена в прокуратуру г. Абакана с сопроводительным письмом от 29.09.2017 №6.17-31819/65 для принятия решения о привлечении к ответсвенности.,"?Проверка проводилась по распоряжению Прокуратуры РХ совместно с прокуратурой г. Абакана. Справка по результатам проверки направлена в прокуратуру г. Абакана. На момент проведения проверки строительство с использованием башенных кранов не велось. Башенные краны (2) демонтированы и находятся на базе организации.
"
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Экопром""",7 602 037 233,А18-04350-0001,21.06.2017,26.06.2017,2,2,0,0,4,0,0,0,0,4,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО "" Ведич""",7 604 208 068,"А18-04223-0015,16,17",03.10.2017,11.10.2017,3,3,0,3,5,4,0,0,0,12,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,,
Межрегиональное технологическое управление,77 г. Москва,первичная выездная проверка (по поручению 85 РП),"ООО ""ПКФ Стройбетон""",5 018 059 580,А02-52518-0001,23.05.2017,24.06.2017,16,2,0,3,4,3,0,0,0,10,1, 200 000.00 ? ,1, 20 000.00 ? ,0,0,0,0,"?Проверка проведена по письму Ценрального Управления
",
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО ""Ведич""",7 604 208 068,"А18-04223-015,16,17",28.11.2017,29.11.2017,3,3,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО ""В- Строй""",7 604 275 811,"А18-044448-0004, 05",09.08.2017,15.08.2017,2,2,0,8,2,5,0,0,0,15,0, -   ? ,1, 20 000.00 ? ,2,0,0,0,,
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО ""В-Строй""",7 604 275 811,А18-04448-0005,23.08.2017,24.08.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО "" В-Строй""",7 604 275 811,А18-04448-0004,30.08.2017,31.08.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО Строительная компания ""Феникс""",7 603 061 430,А18-04467-0002,03.11.2017,07.11.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО ""Экопром""",7 602 037 233,А18-04350-0001,16.08.2017,17.08.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,контроль выполнения предписания,"ООО Строительная компания ""Сегмент""",7 604 265 838,А18-04495-0001,01.11.2017,02.11.2017,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ПКФ ""Хуанхэ групп""",2 466 092 459,А66-01346-0001,01.08.2017,28.08.2017,4,4,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Енисейское управление,24 Красноярский край,первичная выездная проверка (по поручению 85 РП),"ООО ""Созвездие плюс""",2 454 026 211,,08.08.2017,28.08.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Центральное управление,76 Ярославская область,первичная выездная проверка (по поручению 85 РП),"ООО ПСФ ""ТехстройСити""",761 001 001,А18-04322-0003,12.12.2017,15.12.2017,2,2,2,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
Средне-Поволжское управление,63 Самарская область,первичная выездная проверка (по поручению 85 РП),"ООО ""Стройком""",6 367 005 879,А53-03700-0001,23.10.2017,27.10.2017,1,1,1,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,?0,?0
Северо-Западное управление,35 Вологодская область,контроль выполнения предписания,"ООО "" ВологдаСтрой""",3 525 341 888,А28-02781-0001,11.12.2017,15.12.2017,1,1,0,0,0,0,0,0,0,0,0, -   ? ,0, -   ? ,0,0,0,0,,
